Code,Category,Sub_Category,Question,Answer,Difficulty,SubCatName,Flag
5155,Arts & Literature,Literature & Authors,What is 'the soul of wit'?,Brevity,Moderate Knowledge,Arts & Literature|Literature & Authors,
5194,Arts & Literature,Literature & Authors,Who is novelist Helen Fielding's most famous character?,Bridget Jones,Moderate Knowledge,Arts & Literature|Literature & Authors,
5195,Arts & Literature,Literature & Authors,Who is the most famous character ever created by Helen Fielding,Bridget Jones,Moderate Knowledge,Arts & Literature|Literature & Authors,
5210,Arts & Literature,Literature & Authors,Which Graham Greene book and film featured the character Pinky,Brighton Rock,Specialized Knowledge,Arts & Literature|Literature & Authors,
5239,Arts & Literature,Literature & Authors,What do 4 of the top 10 children's authors have in common,British,Moderate Knowledge,Arts & Literature|Literature & Authors,
5279,Arts & Literature,Literature & Authors,Who were Currer Ellis and Acton Bell?,Bronte sisters,Specialized Knowledge,Arts & Literature|Literature & Authors,
5288,Arts & Literature,Literature & Authors,In Goodbye Mr Chips from which fictional school did Mr Chips say goodbye,Brookfield,Moderate Knowledge,Arts & Literature|Literature & Authors,
5295,Arts & Literature,Literature & Authors,What did the old woman who lived in a shoe give her children for supper,Broth without any bread,Moderate Knowledge,Arts & Literature|Literature & Authors,
5367,Arts & Literature,Literature & Authors,In Call of the Wild by Jack London what was the dog's name,Buck,Moderate Knowledge,Arts & Literature|Literature & Authors,
5523,Arts & Literature,Literature & Authors,What were the occupations of the three men in the tub?,"Butcher, baker and",Common Knowledge,Arts & Literature|Literature & Authors,
5524,Arts & Literature,Literature & Authors,"In the nursery rhyme, who were the three men in a tub?","Butcher, baker,",Common Knowledge,Arts & Literature|Literature & Authors,
5585,Arts & Literature,Literature & Authors,Which English author created Horatio Hornblower,C.S. Forester,Moderate Knowledge,Arts & Literature|Literature & Authors,
5586,Arts & Literature,Literature & Authors,Which writer invented the word 'drab'?,C.S. Lewis,Specialized Knowledge,Arts & Literature|Literature & Authors,
5587,Arts & Literature,Literature & Authors,Who created the children's land of Narnia and The Lion the Witch and the Wardrobe?,C.S. Lewis,Common Knowledge,Arts & Literature|Literature & Authors,
5633,Arts & Literature,Literature & Authors,What is a long tunic worn by men in the Near East called?,Caftan,Moderate Knowledge,Arts & Literature|Literature & Authors,
5705,Arts & Literature,Literature & Authors,In which John le Carre novel does George Smiley first appear?,Call for the Dead,Specialized Knowledge,Arts & Literature|Literature & Authors,
5751,Arts & Literature,Literature & Authors,Detective Philip Marlowe smokes what brand of cigarettes?,Camels,Specialized Knowledge,Arts & Literature|Literature & Authors,
5817,Arts & Literature,Literature & Authors,Richard Hannay hero of The 39 Steps is which nationality?,Canadian,Specialized Knowledge,Arts & Literature|Literature & Authors,
5850,Arts & Literature,Literature & Authors,Complete: Butcher baker ___,Candlestick maker,Common Knowledge,Arts & Literature|Literature & Authors,
5935,Arts & Literature,Literature & Authors,Which novel by Louis de Bernieres is set in Cephalonia?,Captain Corelli's Mandolin,Moderate Knowledge,Arts & Literature|Literature & Authors,
5938,Arts & Literature,Literature & Authors,What was the name of Long John Silver's parrot?,Captain Flint,Moderate Knowledge,Arts & Literature|Literature & Authors,
5939,Arts & Literature,Literature & Authors,Who buried the treasure on Treasure Island?,Captain Flint,Moderate Knowledge,Arts & Literature|Literature & Authors,
5940,Arts & Literature,Literature & Authors,Who commanded Bill Jukes Cecco Noodler Skylights and Starkey?,Captain Hook,Common Knowledge,Arts & Literature|Literature & Authors,
5948,Arts & Literature,Literature & Authors,Which literary character takes his name from Latin for nobody,Captain Nemo,Specialized Knowledge,Arts & Literature|Literature & Authors,
5951,Arts & Literature,Literature & Authors,Who commanded the ship Caine?,Captain Queeg,Specialized Knowledge,Arts & Literature|Literature & Authors,
6027,Arts & Literature,Literature & Authors,Who was the author of the story Pinocchio?,Carlo Collodi,Moderate Knowledge,Arts & Literature|Literature & Authors,
6065,Arts & Literature,Literature & Authors,What was Stephen King's first published novel?,Carrie,Moderate Knowledge,Arts & Literature|Literature & Authors,
6108,Arts & Literature,Literature & Authors,In what book was the final score 4-2 after Casey struck out,Casey at the Bat,Moderate Knowledge,Arts & Literature|Literature & Authors,
6113,Arts & Literature,Literature & Authors,What was the first James Bond book?,Casino Royale,Moderate Knowledge,Arts & Literature|Literature & Authors,
6114,Arts & Literature,Literature & Authors,What was the title of the first James Bond novel?,Casino Royale,Moderate Knowledge,Arts & Literature|Literature & Authors,
6115,Arts & Literature,Literature & Authors,Which book first featured the character Felix Leiter,Casino Royale,Specialized Knowledge,Arts & Literature|Literature & Authors,
6124,Arts & Literature,Literature & Authors,Jane Austen had five brothers and one sister - what was her name?,Cassandra,Specialized Knowledge,Arts & Literature|Literature & Authors,
6171,Arts & Literature,Literature & Authors,Which Tennessee Williams play features a character called Big Daddy,Cat on a Hot Tin Roof,Moderate Knowledge,Arts & Literature|Literature & Authors,
6180,Arts & Literature,Literature & Authors,What was Catch-22's original title before the publisher changed it?,Catch 18,Specialized Knowledge,Arts & Literature|Literature & Authors,
6181,Arts & Literature,Literature & Authors,Which famous 20th century novel is set mainly on the fictional island of Pianosa?,Catch 22,Moderate Knowledge,Arts & Literature|Literature & Authors,
6182,Arts & Literature,Literature & Authors,"What novel contains the line ""who promoted Major Major""?",Catch-22,Specialized Knowledge,Arts & Literature|Literature & Authors,
6183,Arts & Literature,Literature & Authors,In which novel is Phoebe Caulfield the hero's younger sister?,Catcher in the rye,Common Knowledge,Arts & Literature|Literature & Authors,
6184,Arts & Literature,Literature & Authors,Mark Chapman was carrying what book when he killed John Lennon?,Catcher in the Rye,Moderate Knowledge,Arts & Literature|Literature & Authors,
6199,Arts & Literature,Literature & Authors,Which author's books are most borrowed from libraries,Catherine Cookson,Specialized Knowledge,Arts & Literature|Literature & Authors,
6200,Arts & Literature,Literature & Authors,Which British writer created the characters Hannah Massay Maggie Rowan and Tillie Trotter?,Catherine Cookson,Specialized Knowledge,Arts & Literature|Literature & Authors,
6256,Arts & Literature,Literature & Authors,In The Pilgrim's Progress what is Christian's final destination city,Celestial City,Specialized Knowledge,Arts & Literature|Literature & Authors,
6375,Arts & Literature,Literature & Authors,What connects Two Gentlemen of Verona Twelfth Night and Merchant of Venice?,Characters named Antonio,Specialized Knowledge,Arts & Literature|Literature & Authors,
6395,Arts & Literature,Literature & Authors,What is the middle name of author Arthur C. Clarke?,Charles,Specialized Knowledge,Arts & Literature|Literature & Authors,
6414,Arts & Literature,Literature & Authors,Who is the subject of Irving Stone's The Origin?,Charles Darwin,Specialized Knowledge,Arts & Literature|Literature & Authors,
6424,Arts & Literature,Literature & Authors,BOZ was the pen name of which writer?,Charles Dickens,Moderate Knowledge,Arts & Literature|Literature & Authors,
6425,Arts & Literature,Literature & Authors,What author said accidents will occur in the best regulated families,Charles Dickens,Moderate Knowledge,Arts & Literature|Literature & Authors,
6426,Arts & Literature,Literature & Authors,Which author's father was imprisoned for debt?,Charles Dickens,Moderate Knowledge,Arts & Literature|Literature & Authors,
6427,Arts & Literature,Literature & Authors,Which writer created Detective-Inspector Bucket?,Charles Dickens,Specialized Knowledge,Arts & Literature|Literature & Authors,
6428,Arts & Literature,Literature & Authors,Who was the author of A Christmas Carol?,Charles Dickens,Common Knowledge,Arts & Literature|Literature & Authors,
6429,Arts & Literature,Literature & Authors,Whose stories were illustrated by Phiz?,Charles Dickens,Specialized Knowledge,Arts & Literature|Literature & Authors,
6448,Arts & Literature,Literature & Authors,Who coined the term security blanket?,Charles Schulz,Specialized Knowledge,Arts & Literature|Literature & Authors,
6449,Arts & Literature,Literature & Authors,Who drew the Peanuts series of cartoons?,Charles Schulz,Moderate Knowledge,Arts & Literature|Literature & Authors,
6452,Arts & Literature,Literature & Authors,Rhett Butler of Gone With the Wind was born in which US city,Charleston,Moderate Knowledge,Arts & Literature|Literature & Authors,
6463,Arts & Literature,Literature & Authors,Which oriental detective character was created by Earl D Biggers?,Charlie Chan,Moderate Knowledge,Arts & Literature|Literature & Authors,
6490,Arts & Literature,Literature & Authors,Which of the Bronte sisters married Reverend A B Nicholls in 1854,Charlotte,Specialized Knowledge,Arts & Literature|Literature & Authors,
6494,Arts & Literature,Literature & Authors,Name the three Bronte sisters.,"Charlotte, Emily & Anne",Moderate Knowledge,Arts & Literature|Literature & Authors,
6525,Arts & Literature,Literature & Authors,What is the surname of the medieval author of Canterbury Tales,Chaucer,Moderate Knowledge,Arts & Literature|Literature & Authors,
6617,Arts & Literature,Literature & Authors,Whose smile remained after the rest of it had vanished?,Cheshire Cat,Common Knowledge,Arts & Literature|Literature & Authors,
6619,Arts & Literature,Literature & Authors,What was the subject of the first book printed in England?,Chess,Specialized Knowledge,Arts & Literature|Literature & Authors,
6645,Arts & Literature,Literature & Authors,Which author created Dick Tracy?,Chester Gould,Specialized Knowledge,Arts & Literature|Literature & Authors,
6660,Arts & Literature,Literature & Authors,In which US city is the Encyclopedia Britannica published?,Chicago,Specialized Knowledge,Arts & Literature|Literature & Authors,
6727,Arts & Literature,Literature & Authors,In the Harry Potter books what is Aragog?,Chief Spider,Moderate Knowledge,Arts & Literature|Literature & Authors,
6767,Arts & Literature,Literature & Authors,Puccini's Turandot is set in which country?,China,Moderate Knowledge,Arts & Literature|Literature & Authors,
6768,Arts & Literature,Literature & Authors,Where did the story of Cinderella originate?,China,Specialized Knowledge,Arts & Literature|Literature & Authors,
6816,Arts & Literature,Literature & Authors,What nationality was Aladdin in the original story?,Chinese,Specialized Knowledge,Arts & Literature|Literature & Authors,
6926,Arts & Literature,Literature & Authors,In which Dickens novel does the character Fezziwig appear,Christmas Carol,Moderate Knowledge,Arts & Literature|Literature & Authors,
6932,Arts & Literature,Literature & Authors,Who are the four ghosts in Charles Dickens A Christmas Carol,Christmas Past Present Future and Marley,Moderate Knowledge,Arts & Literature|Literature & Authors,
6933,Arts & Literature,Literature & Authors,What character is one of the ghosts from A Christmas Carol?,Christmas Present,Common Knowledge,Arts & Literature|Literature & Authors,
7009,Arts & Literature,Literature & Authors,The Finnish know her as Tuna what do English speakers call her,Cinderella,Moderate Knowledge,Arts & Literature|Literature & Authors,
7010,Arts & Literature,Literature & Authors,Who is known as Tuhkimo in Finland?,Cinderella,Specialized Knowledge,Arts & Literature|Literature & Authors,
7059,Arts & Literature,Literature & Authors,With which contemporary issue is US writer James Baldwin associated,Civil Rights,Moderate Knowledge,Arts & Literature|Literature & Authors,
7219,Arts & Literature,Literature & Authors,What Was Sherlock Holmes' 7% solution in 'The Sign of Four',Cocaine,Specialized Knowledge,Arts & Literature|Literature & Authors,
